1808	-0.87	203.5167134
1807	-1.38	218.305006
1806	-1.39	244.3779514
1805	-0.54	253.6727728
1804	-0.82	242.8353561
1803	-1.55	226.7348873
1802	-1.12	228.8449741
1801	-1.14	230.2012917
1800	-0.97	227.2988014
1799	-1.12	221.2887797
1798	-1.23	214.6966352
1797	-1.02	205.1239444
1796	-1.14	196.8598979
1795	-0.97	197.431367
1794	-1.12	190.9147335
1793	-1	192.8652916
1792	-0.79	215.3508284
1791	-1.07	236.4032282
1790	-1.01	236.2153694
1789	-1.09	231.7292076
1788	-1.18	245.8383775
1787	-1.13	278.616673
1786	-1.31	287.1976895
1785	-0.23	243.5710425
1784	-0.71	213.1916479
1783	-1.57	214.5375143
1782	-0.43	235.8077196
1781	-1.51	238.3539622
1780	-0.94	215.5335677
1779	-1.36	196.9536987
1778	-1.09	197.4855669
1777	-0.93	213.836702
1776	-0.94	257.0636358
1775	-0.21	272.822424
1774	-0.45	234.6025899
1773	-1.04	207.5400144
1772	-0.71	214.5144551
1771	-1.1	218.0398471
1770	-1.3	208.6630662
1769	-0.88	202.8984292
1768	-1.19	195.1436324
1767	-1.03	185.3625816
1766	-0.63	181.28996
1765	-0.65	182.629046
1764	-0.52	187.173296
1763	-0.55	191.0210192
1762	0.07	196.0539145
1761	-0.95	208.0819715
1760	-0.44	214.7909616
1759	-0.95	201.8591541
1758	-0.74	191.3360304
1757	-0.6	188.4929016
1756	-0.91	187.430124
1755	-0.83	191.221014
1754	-1.17	191.2922777
1753	-0.97	187.698178
1752	-1.38	185.6836871
1751	-1.42	187.8718363
1750	-1.2	194.1091911
1749	-0.93	199.588339
1748	-0.91	208.4002524
1747	-1.49	214.158404
1746	-1.74	208.547285
1745	-1.63	208.468564
1744	-1.61	232.4715114
1743	-1.4	245.593311
1742	-1.72	217.7373862
1741	-1.36	197.1101282
1740	-0.74	188.2669158
1739	-0.56	187.1136236
1738	-1.17	187.5309932
1737	-1.45	184.1684895
1736	-0.95	182.5417636
1735	-1.98	184.3525961
1734	-1.34	198.6420326
1733	-0.99	224.8936754
1732	-0.77	237.2294685
1731	-0.4	245.4029968
1730	-0.31	250.9055719
1729	-0.24	244.3284297
1728	-1.13	241.1281911
1727	-0.61	240.6070394
1726	-0.65	231.3135475
1725	-0.87	234.1920885
1724	-1.06	228.8565237
