-14.295	0.544
-13.919	0.172
-13.627	0.123
-14.314	0.084
-13.759	0.057
-13.718	0.075
-13.639	0.07
-13.26	0.072
-13.233	0.777
-14.246	0.079
-12.736	0.117
-11.715	0.075
-12.871	0.037
-13.534	4.908
-13.328	0.087
-13.383	0.051
-13.744	0.121
-12.096	0.09
-13.187	0.058
-12.902	0.057
-12.151	0.065
-12.49	0.09
-12.796	0.073
-12.601	0.073
-13.139	1.978
-14.215	0.063
-11.523	0.075
-12.49	0.099
-14.029	0.086
-12.267	0.14
-12.601	0.042
-12.357	0.104
-11.489	0.049
-12.966	0.084
-14.927	0.086
-13.031	0.057
-13.238	0.208
-11.602	1.886
-13.072	0.084
-12.281	2.833
-11.087	0.083
-12.31	1.595
-12.74	0.051
-13.749	0.052
-11.888	0.211
-11.726	0.127
-11.142	2.01
-12.309	0.098
-11.905	3.844
-10.612	0.085
-11.62	0.05
-12.479	0.094
-9.959	0.093
-12.427	0.059
-10.295	32.6
-12.929	0.075
-12.509	0.099
-12.136	0.075
-11.594	0.064
-13.574	6.73
-13.459	0.17
-13.064	0.123
-13.732	0.084
-13.039	0.057
-13.219	0.075
-13.473	0.07
-12.476	0.072
-12.527	2.931
-13.537	0.079
-12.161	0.339
-11.1	0.077
-12.272	0.671
-13.253	4.54
-12.715	0.146
-13.173	0.051
-13.439	0.121
-11.666	0.091
-12.608	0.083
-12.246	0.057
-11.538	3.038
-12.069	0.09
-12.452	0.073
-11.834	0.071
-12.25	1.064
-13.617	0.063
-10.633	0.075
-11.949	0.099
-13.686	0.086
-11.822	0.528
-11.896	0.169
-11.561	0.104
-11.022	0.049
-12.144	0.084
-14.482	0.086
-12.441	0.057
-12.607	0.203
-11.026	1.309
-12.509	0.084
-11.443	3.6
-10.692	0.083
-11.802	6.073
-12.023	0.058
-13.017	0.052
-11.339	0.518
-11.105	0.127
-10.488	3.12
-11.634	0.103
-11.197	3.635
-9.914	2.118
-11.253	0.075
-12.321	0.094
-9.414	0.897
-11.8	0.21
-9.653	48.688
-12.408	0.075
-12.16	0.101
-11.812	1.25
-10.893	0.084
-12.949	12.319
-12.929	0.107
-12.587	0.124
-13.048	0.083
