1881	5.1	-0.529640512	-0.424510045
1880	4.966666667	0.557894765	-0.640950215
1879	5.4	-0.472294722	-0.664968448
1878	5.833333333	-0.112635733	-0.468641238
1877	6.3	-0.407527402	-0.038697204
1876	4.8	0.359515911	-0.724509812
1875	4.366666667	-0.324515038	-0.874078329
1874	6.2	-0.190917074	-0.070871721
1873	5.1	-0.302283098	0.859540915
1872	6.2	-0.163866353	-0.355667323
1871	5.766666667	-0.512250925	-0.275651286
1870	5	-0.461757938	1.220414294
1869	4.066666667	-0.513052459	-1.02615091
1868	3.4	-0.260862468	-1.063247976
1867	5.866666667	-0.259996419	-0.41938722
1866	4	-0.556507597	0.71053925
1865	3.233333333	-0.475540635	1.057365697
1864	4.2	2.189226614	0.283693399
1863	2.966666667	-0.219964372	0.440584817
1862	4.766666667	-0.421620684	-0.197269153
1861	4.433333333	1.795945852	0.474372485
1860	5.766666667	0.227370223	-1.088726137
1859	4.5	-0.445812494	-1.031467565
1858	6.2	-0.467150963	-0.717028088
1857	6.733333333	-0.084144859	-0.584973725
1856	4.633333333	-0.46297753	0.045144719
1855	4.066666667	-0.275404803	-1.088726137
1854	NaN	-0.230156491	-0.858505448
1853	NaN	-0.391918746	-0.20732263
1852	NaN	0.328751826	-0.56489568
1851	NaN	-0.264657288	-0.222650707
1850	5.833333333	-0.163445071	-0.365995926
1849	5.166666667	-0.278270936	0.188006668
1848	6.566666667	-0.297084859	-0.86932647
1847	4.233333333	-0.441767878	-0.226759653
1846	3.966666667	-0.017370664	0.234802872
1845	5.833333333	-0.067181345	-0.64589539
1844	5.266666667	-0.11867022	-1.088726137
1843	4.733333333	-0.532278431	-0.727231649
1842	4.133333333	-0.513052459	0.181468323
1841	3.5	-0.443882475	0.084487792
1840	4.1	-0.120983586	-0.300010891
1839	NaN	-0.527704565	-0.591046162
1838	NaN	-0.387248932	0.300546797
1837	NaN	-0.488649942	0.629791194
1836	NaN	-0.364950853	-0.594385801
1835	NaN	0.043784979	-0.640135634
1834	NaN	-0.447869752	-0.654022458
1833	NaN	-0.061309851	-0.808286308
1832	NaN	-0.513052459	-0.600865499
1831	NaN	-0.437808276	-1.088726137
1830	NaN	-0.467545279	-0.97382411
1829	NaN	0.508861101	-0.626248467
1828	NaN	0.098504877	-0.476480929
1827	NaN	-0.246224786	-1.028010148
1826	NaN	0.504018466	-0.290290808
1825	NaN	0.701779521	-0.528282144
1824	NaN	-0.534780028	-1.004102938
1823	NaN	-0.216523568	0.220707802
1822	NaN	-0.373191958	0.50380794
1821	NaN	-0.208866494	0.933593088
1820	NaN	0.529870849	-0.313906028
1819	NaN	-0.469597321	3.442131334
1818	NaN	-0.165411356	-0.368723276
1817	NaN	-0.513052459	1.301007955
1816	NaN	0.269140022	-0.516111543
1815	NaN	-0.469597321	-0.520368084
1814	NaN	-0.382687046	-0.909067208
1813	NaN	-0.469597321	-0.857847674
1812	NaN	0.182229747	-0.462369277
1811	NaN	-0.469597321	-0.41215768
1810	NaN	-0.513052459	-0.558731543
1809	NaN	-0.469597321	-0.464032621
1808	NaN	-0.252321632	-0.608544288
